,phi_0,b,ssn,log_ssn,en,r_smooth,r_log,A
1998-06,0.5924053446295945,0.4390932192482313,53.262535957773075,3.9752331939306713,ams01,11.648357371794873,2.4551651719413434,1
1993-07,0.6645681435146908,0.4716667006828079,98.90203855125796,4.5941298506635375,bess,18.0124255952381,2.8910618305877875,1
1994-07,0.6624035987458886,0.5551426577938412,54.53815941470288,3.998900629409461,bess,17.302281364468868,2.850838363588094,1
1995-07,0.5357722014567398,0.4998115037213791,29.236351899246827,3.3754128630502502,bess,10.954425366300367,2.393743517659837,1
1997-07,0.5078487911811211,0.4287553997825633,20.76630954268255,3.0333319399958487,bess,6.3680895146520164,1.851299505392407,1
1998-07,0.6077713309372504,0.3920698903193072,61.87000385058958,4.1250354717796744,bess,13.42809294871795,2.5973490011014237,1
1999-08,0.6956505765280939,0.4087866775908451,126.81611118,4.842738093710897,bess,37.9105815018315,3.6352302684196105,1
1994-08,0.6049210652415244,0.4202124040622293,54.53815941470288,3.998900629409461,caprice,16.825630723443226,2.822903362105619,1
2007-12,0.5665098971803981,0.4744207766063007,19.46717705950076,2.9687298196323346,bess,13.816818910256414,2.6258866116888986,-1
1987-08,0.4833162231383789,0.4294765316888012,12.077068563272915,2.4913084944546435,leap,4.884012133699634,1.5859670406228565,-1
2004-12,0.8285040057424752,0.36675985194042177,85.3248295544533,4.4464654971869475,bess,35.01459134615385,3.555764870216982,-1
1989-09,1.2620441315200592,0.3215582718449789,142.71081111688292,4.960820282768512,mass,50.617019230769245,3.9242878681751407,-1
2002-08,1.1519138954647132,0.3175899450772245,174.08917529273828,5.159567669612799,bess,40.551987179487185,3.702584785020047,-1

